,blobs,ideology,title
86,january th mr jiansheng chen yearold man shot death security guard mr chen sitting minivan playing pokxmon go game front club house river walk community chesapeake resides people strongly demand city chesapeake police department conduct full range investigation review security footage surveillance cameras citizens chesapeake deserve thorough transparent fair investigation case american deserve country safe enough play pokemon go inside communities live determined pursue full justicepokxmongoer lives matter,Neutral,pokxmon-goer lives matter: demanding a full and transparent investigation in the shooting death of mr. jiansheng chen
87,senator john mccain dealing syrian terrorists providing weapons terrorist accepting money foreign interest accusing president false document,Conservative,impeach senator john mccain.
88,american pastor andrew brunson languished prison turkey since october falsely charged xmembership armed terrorist organizationx despite turkish authorities evidence pastor andrew us citizen north carolina family lived peacefully turkey since urge president united states request turkish president erdoxan order andrews immediate release return united states,Neutral,forgotten american in turkey
89,help ensure american citizens determine destiny united states ballot box ultimate goal petition impact american citizens acted upon petition submitted behalf group organization like minded american citizens american citizens right know non citizens voting local state national elections united states therefore petition congress appropriate funds necessary investigate voter fraud,Liberal,appropriate funds to investigate voter fraud.
90,president bill clinton signed adoption safe families act intended remedy problem endless foster care thousands children bonus check paid states terminate parental rights place children adoption created financial incentive terminate family relationships instead rehabilitating families nationamps ampquotbest interest childampquot mantra created hitler became battle charge begin social engineering families federal government adoption bonuses bourgeoned billions dollars paid states financially dependent funds addition state agencies controlled private contractors profit end afsa,Neutral,our kids are not for sale - cancel all adoption bonus payments under the adoption and safe families act.
91,law enforcement made three components judicial system police courts corrections petition president trump congress pass federal law force individual states recognize correctional officers law enforcement officers time estimated correctional officers america put correct category law enforcement given rights national union protection assaults first responder rights offduty police officers correctional officers take oath serve protect public uphold constitution state laws time long past due federal law forces states recognizes correctional staff member law enforcement part judicial system,Conservative,pass a federal law that will nationally recognizing all states correctional officers as law enforcement.
92,decision delete thousands records related welfare animals laboratories taking away public access previous online usdaaphis database ensures transparency extremely dangerous unethical facilities able whatever want animals without public oversight breaking law hiding information facilities free nobody ever know,Liberal,reverse the usda's blackout of information related to animals in labs!
93,petition creation government chartered civilian volunteer emergency response organization augment existing government based services designated us government agency would provide training supervision organization set standards equipment supplies enactment legislation would needed provide preemption state laws prevent volunteers training maintaining owning designated equipment supplies,Conservative,create a civilian national readiness force
94,medical treatment comes risk severe reaction death mandated requirement education employment military especially manufacturers medical treatments liability safety efficacy products many states either passed legislation past years trying ask president trump put executive order forward prevent federal state private agency creating requirements remove requirements currently exist require vaccinations criteria education employment military also ask repeal childhood vaccine injury act vaccine manufacturers liable products,Conservative,protect medical freedom &amp; remove vaccines from being a requirement for education or employment
95,following riots uc berkley guest speaker milo mayor uc berkley issued police stand allowed mass violence president trump threatened pull federal funding uc berkleyuc berkleys funding comes government whopping year government pulled plug money could used much better cause fixing flint michigan water system previous administration failed acknowledge estimated cost water system berkley funding would easily cover money left infrastructure changes,Conservative,remove federal funding from uc berkley and use it to fix flint's water pipes.
96,us signed budapest memorandum us pledged maintain ukraines territorial integrity return ukraines unprecedented voluntary surrender nuclear arsenal americas credibility honor demand us uphold pledge providing decisive aid face ongoing russian aggression ukraine people already sacrificed lives defending putins war crimesrussia continues unlawfully violate invade ukraine annex internationally recognized ukrainian territory launched fresh assault ukrainian people need president make unequivocally clear mr putin behavior intolerable met american resolve severe consequences,Liberal,unequivocally support ukraine  against russian aggression with meaningful assistance
97,petition aims end offshoring health information management jobs prohibit transfer personal identifiable information pii protected health information phi person outside united states current federal law protect prevent pii phi accessed unauthorized personnel could sell information open credit accounts attempt extort patients release information onlinehealth information management jobs include positions people access medical records coding billing medical treatment medical facilities including hospitals dentists surgery centers urgent cares primary care doctors medical records include protected health information personal identifiable information,Conservative,stop offshoring of american jobs and prevent identity theft by foreign companies
98,end wind subsidies abused corporations exspense tax payers wind farm companies placing turbines close homes maximize profits creates hazardous condition people living nearby states new york created specific ethics documents wind companies concern way conduct business time congress acts,Conservative,end wind energy subsidies.
99,need kids raised prayer school right read bible verses teach creation classrooms vital making america great,Conservative,ask president trump to help put prayer back in schools
100,openly call assassination president openly call rape president found multiple sources funded george soros attempt destabilize country spread sedition wish overthrow current government replace communist anarchist government commited multiple counts assualt amp battery group commited multiple counts vandalism group called destruction faithsin addition antifa met little resistance police afraid violation antifas right protest people protesters antifa political army starts riots undermines rights freedoms law abiding citizens,Conservative,we the people: call on congress and the administration to declare #antifa and its' subsidiaries a terrorist organization
101,honor children world unable access life saving medical care without support american charitable organizations hospitals ask government reviews access policy require emergent medical care arranged care facilities united states medical waivers necessity us save lives otherwise lost please president trump begin little fatemah urgently needs pediatric cardiothoracic surgery stay alive grandparents us citizens needs hope,Liberal,create medical exceptions for medically fragile children to be transported to us hospitals
102,petition help bring awareness closing coal power plants epa wants company make unforeseen changes cost billions due changes company wants close doors company history buy closing plants need keep doors open cause domino effect small rural area business close move schools suffer lead closings lime mines close barge companies move stop running train longer need need help,Neutral,keep dayton power and light &amp; killen stations open
103,last decade weve witnessed socalled antifascists commonly known antifa steadily radicalize behavior methods escalation included rioting washington dc smashing windows destroying public property event chillingly reminiscent kristallnacht randomly assaulting innocent people doxxing blocking traffic much hatred anything antiamerican manifested alarming tangible results terror modus operandi people united states enough calling congress designate cell largely funded known economic terrorist george soros domestic terror organization feelgood name avoid scrutiny deserve,Conservative,designate antifa (anti-fascist) as a domestic terror organization
104,hello president trump would like see ban curio relic firearm importations lifted russia china also would like us bring back rifles garand carbine rifleslent south korea korean war would also like see sold general public citizens marksmanship program firearm importers thank,Conservative,re-importation of curio and relic firearms and loaned m garands
105,antifa leftwing radical group past year caused violence engaged terrorist like activities last night caused damage rioted college campus berkeley california resulted property damage minor injuries isis declared terrorist organization congress people ask congress declare antifa terrorist organization,Conservative,officially declare antifa a terrorist organization
106,strongly urge protect office violence women office vital protection womens rights reduction sexual assault domestic violence,Conservative,do not cut the office of violence against women!
107,story one many heartbreaking stories administrations new immigration policy family monthold iranian girl said missed appointment open heart surgery due president donald trumpxs executive order banning travelers seven majoritymuslim countries scheduled surgery ohsu family taking steps get visas including traveling dubai consulate iran last minute told couldnt go due ban want president reach heart compassionate allow family save baby girls life read,Liberal,allow -month-old fatemah to travel to the u.s. for her scheduled open heart surgery.
108,last several months seen antifa short quotantifascistquot agitators commit acts political violence across countrymasked antifa members washington dc attacked beat several individuals well looting destroying stores presidential inaugural weekendantifa members seattle beat several individuals antifa members berkeley beat people unconscious flagpoles assaulted innocent bystanders torched uc berkeley propertythese acts political violence growing rampant clearly meet definition terrorism antifa poses threat innocent men women across countrypresident trump americans value peaceful discourse ask declare antifa terrorist organization,Conservative,president trump: declare antifa a domestic terror organization
109,adress mr donald trump th president united states congratulate victory elections introduction presidency chosen people means youre person word honor destinies millions wellbeing stability depend decisions behalf russian people appeal stop confrontation usa russia become allies partners russia usa give guarantees stability world person planet ask make following steps guarantee peace relations countries include foreign policy programme plan reconciliation russia usa first step remove economic sanctions russia,Conservative,stop confrontation between usa and russia
110,mandatory vaccination unconstitutional people demand medical freedom united states government agencies may compel deny medical procedure treatment substance whether force detainment fines taxes withholding benefits,Conservative,repeal all mandatory vaccination laws
111,citing ica fbiciansa findings russia directly without precedent interfered us election undersigned american people demand donald j trump removed office election results nullified upon investigations conclusion donald trump video evidence encouraged russia interfere election engaged treasona crime country people alone crime requiring removal office president via impeach process,Liberal,"we, the citizens of the united states of america, demand donald trump be impeached."
112,xmake america great againx xamerica firstx xabout stem advanced degrees us awarded international students us needs keep talent us cannot keep quota hb visa cappedinstead providing hb visas graduates us universities colleges cheap labors overseas hired outsourcing firms major users hb visas fraudulent documents rampant hard verified us employees laid outsourcing talented graduates us higher education institutions left lottery processinternational students discouraged coming us bad us economygraduates us higher education institutions highest priority hb visa,Conservative,us higher education institutions graduates should have the highest priority for h-b visa
113,kekistani people oppressed long wish president donald j trump help people kekistan giving us recognition encourage world leaders cries freedom ring,Conservative,recognize the republic of kekistan as a sovereign country.
114,steve bannon poses threat democracy said wants send status quo crashing appears person calling shots white house one elected qualified national security council dangerous man,Liberal,fire steve bannon
115,executive order steve bannon full seat xprincipals committeex national security council roles chairman joint chiefs staff director national intelligence downgraded unprecedented elevation political adviser status alongside secretaries state defense presidentxs top military intelligence advisers must reversed remove steve bannon national security council,Liberal,remove steve bannon from national security council
116,refugees accepted come united states resettlement stopped detained presidential decision close borders people wartorn nations refugees endured years upheaval seeking homes targets mothers fathers children grandparents families mine waiting two years gain freedom instead detained airports u around world hopes dashed nowhere turn meanspirited counterproductive policy deeply unamerican nothing reduce risk americans counter central values country petition calls reversal trumps jan executive immigration order,Liberal,let them in
117,petitioning behalf freedomloving americans everywhere safe swift return united states us citizen university virginia student otto warmbier held prisoner north korea since january otto currently serving sentence years hard labor minor transgression removing political banner north korean hotel bring beautiful baby boy home,Neutral,bring our boy otto warmbier home from north korea
118,mom victims cyberharassment since im cyberbullying may seem trivial destructive acts devastating consequences countless young lives chosen death stark depression brought cyberharassment tragic losses anomalies insecurities victims rather result epidemic cruelty transmitted internet president trump talked ending american carnage ending needless loss american lives americanskids adultskilling lives destroyed due cyberharassment part carnagewe people ask trump administration amp congress take action enact stricter laws protect cyber victims,Liberal,enact stricter cyberbullying &amp; cyberharassment laws and provide adequate resources to prosecutors to enforce these laws
119,pre existing conditions clause affordable care act impacts americans health insurance affects withobamacare get insurance via employer everyonea major part aca guaranteeing healthcare people preexisting conditions insurance companies cannot deny discriminate financiallyhere handful things considered preexisting conditions cancer heart disease diabetes kidney disease woman list goes onhigh risk pools shown work expensive administer much costly consumers afford provide poor coverage gaps limitswe know someone affect get sick care,Liberal,"keep insurance protections for people with pre-existing conditions: for millions, it really could be life or death."
120,petition demands immediate removal stephen bannon us national security council unprecedented move placing political operative council dedicated national security decisions politicizes military decisionmaking affront men women serve bravely us armed forcesbannon significant experience national security sidelined general james mattis secretary defense general kelly secretary homeland securitydecisions taken us national security council involve lives brave men women uniform must protected political calculations position us national security council makes us less safe demand removal council,Liberal,remove stephen bannon from the u.s. national security council
121,call president trump immediately reverse executive order restricting refugee admissions immigration united states order prolongs human suffering fails effectively confront global terrorism runs contrary prohibitions discrimination based religion national origin established immigration nationality act,Liberal,president trump: repeal executive order restricting refugee admissions and immigration
122,non governmental organizations sri lanka areacting sovereign status sri lanka false propaganda brought puppet government breaking small unitary island federalism give mythical tamil eelam please tamil tiger terrorist sympathisers selling land foreigners hence minority sinhalese race world discriminated loosing land destroying identity culture heritage history pure theravada buddhism associated practices via mushrooming fundamentalism faiths creating ethnic tension underhand acts make racial disharmony eg destroy vandalise years old buddhist heritage via ngo funded fake nationalistic organizationsforeign p,Conservative,withdraw funds and dismantle the international non governmental organizations in sri lanka heavily funded by us.
123,trump incredible work reigning epa doed appointing conservative justices supreme court protecting us extreme vetting support trump,Conservative,put donald trump on mount rushmore
124,californians second amendment rights constant attack state government everything handgun roster round magazine restriction assault weapons ban ammunition purchase background checks ammunition possession limits outragious conceal weapons permit fees selective issuing ccw permits open carry ban california legislation believes bans restrictions make safer california reality make easier criminals commit crimes law abiding citizens help return californias second amendment rights law abiding citizens,Conservative,repeal the second amendment violations in california
125,terrorism defined xthe use violence intimidation pursuit political aimsx definition definition used declare isis groups terrorist organizations black lives matter earned title due violent actions multiple cities influence killings multiple police officers throughout united states group already described hate group racist police hating actions milwaukee sheriff david clarke speaker last years rnc time pentagon consistent actions x rightfully declared isis terror group must declare black lives matter terror group x grounds principle integrity morality safety,Conservative,formally recognize black lives matter as a terrorist organization
126,steve bannon promoting dangerous unamerican actions removed position influence,Liberal,remove steve bannon from the president's administration
127,executive order causes undue hardship distress estimated legal us residents iraq syria iran libya somalia sudan yemen violates basic human dignity moreover stipulating refugees let country christians prioritized muslims violation first amendment,Liberal,"rescind the executive order ""protecting the nation from foreign terrorist entry into the usa""   (""the muslim ban"")."
128,donald trump rescind executive order stopping refugee resettlement program illegal immigration ban based national origin,Liberal,donald trump's anti-immigration executive order.
129,steve bannon little experience national security issues quite simply poor replacement regular required attendance director national intelligence chairman joint chiefs staff experience background knowledge protecting interests nation steve bannons roll white house limited strengths experience lieproviding president advice directing developing winning message around presidents proposed policies,Liberal,remove steve bannon as a member of the national security council and reinstate the dni and cjcs as required attendees.
130,steve bannon propagandist whitenationalist sympathies disregard truth unprecedented move elevate bannon downgrading influence experience perspective judgement military intelligence officials puts security us world citizens risk,Liberal,remove steve bannon and restore military and intelligence officials as full members of  the  national security council
131,though oppose moritorium refugee immigration favorable treatment persons one professed religion another acknowledge undoing signed executive order unlikely however indefinite detention approved refugees already transit stranded executive order inexcusable already approved lengthy rigorous process oversight multiple federal agencies allowed complete process already approved light extensive criticism president trump endured significant portions country press corps first week presidency low risk political move allows gain back political capital show compassion,Liberal,amend the moratorium on refugee immigration to allow entry for those already in transit and those approved for entry
132,lyme disease hidden epidemic crime humanity cdc stuck back regards testing diagnostics disease medical community mandated follow cdc guidelines therefore improperly caring patients misdiagnosis also transmitting blood pathogen via transfusions since accurate tests fda nothing check blood donations disease linked ms als parkinsons disease alzheimers lyme disease left untreated incorrectly treated killing people via slow suffering debilitating death lets make america great starting investigating federal agencies responsible public health safety cdc fda need held accountable,Neutral,"lyme disease epidemic: testing, diagnostics and treatment guidelines, blood contamination and prevention of chronic lyme"
133,recent executive order quotprotecting nation foreign terrorist entry united statesquot done hamfisted way although visa policy implementation always improved ensure nation remains secure changes wellconceived done thoughtful manner coordination relevant government agencies order therefore rescinded changes considered thoughtful way considers ramifications civil liberties foreign relations congress also involved make needed changes immigration nationality act,Liberal,rescind the executive order banning refugees and immigrants and non-immigrants from certain countries.
134,united states country founded immigration factual evidence immigrants countries reviewed according existing procedures likely commit terrorist acts furthermore executive order impose limits immigrants saudi arabia egypt lebanon uae countries origin terrorists decision admit christians muslims prohibited countries clearly contrary third amendment prohibiting discrimination basis religion reasons executive order january immediately revoked,Liberal,"cancel executive order banning immigration from iran, iraq, libya, somalia, sudan, syria and yemen."
135,action puts place day block entry us citizens iran iraq syria yemen sudan libya somalia trump officials continued insist presidentxs actions targeted muslims one faith text executive order made explicit us government would prioritize religious minorities muslimmajority countries upon resuming admittance refugees xupon resumption usrap admissions secretary state consultation secretary homeland security directed make changes extent permitted law prioritize refugee claims made individuals basis religiousbased persecution provided religion individual minority religion,Liberal,immediately repeal xprotection of the nation from foreign terrorist entry into the united statesx
136,petition calls congress pass legislation nullifies presidents executive order protecting nation foreign terrorist entry united statesthis executive order bans legal residents greencard holders traveling entering reentering us taking away legal rights students employees workers countries iraq somalia iran syria yemen libya sudan furthermore order prevents refugees safely relocated us executive order runs contrary american values freedom unhcr rights refugee obstructs entry residents endangers lives refugees awaiting relocation,Liberal,"repeal the executive order that bans refugees and , legal residents from  countries"
137,petition important needs dire attention seen tweet worldstar hiphop young posty mixing dangerous bangers public needs hear youre country youre fellow citizens favor every signature leads us one step closer new tracks straight flames favorite mr posty,Neutral,make post malone drop his new record title &quot;beerbongs and bentleys&quot;
138,immigration ban reflect american values making americans safer countries naturally retaliating thus restricting travel american citizens particularly restricting movement workers hightech sector destroys americas competitive advantage place innovate create jobs,Liberal,remove the immigration ban
139,person poses threat united states wellfounded fear persecution account race religion nationality membership social group political opinion ability seek refuge united statesour existing refugee program limited robust secure effective already requires extensive screening us department state federal bureau investigation ask president trump congress take immediate action rescind executive order resume refugee program,Liberal,immediately rescind january  executive order suspending u.s. refugee program
140,banning valid visa holders entering united states based upon religion direct violation us constitution one discriminated face persecution based upon religious beliefs race gender president trumps ban muslim visa holders entering country must immediately overruled congress otherwise violates core beliefs americansthe signers petition call upon congress supreme court act immediately continuously prevent unconstitutional behavior president,Liberal,immediately reverse and overturn the executive order banning muslim visa holders from entering the united states.
141,new policy harm us following reasons economic interest many professionals talent impacted nations attract new talents us disadvantaged changing world views america land free diverting resources futile policy evidence based protecting national security trigger reciprocal actions multiple nations us citizens face obstacles travelling policy putting lives unity many families legal immigrants risk simply american areplease help us protect economic interests save reputation stronghold human rights,Liberal,stop president trumpxs order to blocks arrival at airports for visa and green card holders
142,unamerican ban valid visa holder amp green card permanent resident holders based nationality religion entering united states destroys millions lives break countless families ban punishing innocent people based nationality religion therefore promote americas interest security home abroad action superpower divisive policy promoting fear hatred home abroad executive order repealed,Liberal,"cancel executive order banning people of iran, iraq, libya, somalia, syria, sudan, yemen (# muslim ban)."
143,trump dangerously mentally ill temperamentally unfit serve president clear present threat us citizens stability future nation hang delicately balance fearfully bear witness indisputable malignant narcissism xenophobic pathological liar erratic manipulative ampampamp passiveaggressive violated constitution silencing press disregarding wall church state stam requiring religious test qualification public trust art refutes transparency divesting encourages violating th amendment malevolence federal alienage policies morally corrupt collusive fanatical people peremptorily summon congress make motion invoke th preempt destruction,Liberal,trump dangerously mentally ill and unfit to serve.invoke the th amendment. stop the insanity.
144,refugees already extremely well vetted process average lasts anywhere months includes multiple interviews multiagency un background checks medical exam ban turns american backs unconscionable suffering others religious preference ban unlawful unconstitutional unamerican ban immoral inhumane illegal ultimately make united states safer reverse ban,Liberal,reverse the refugee ban
145,petition usfs wildland firefighters put lives line fighting fire recognized government firefighters federal wildland firefighter recognition act introduced representative doug lamalfa cosponsors july hr date action taken,Neutral,federal wildland firefighters are not forestry technicians
146,barring refugees entry country based faith opposite true christian values christian religion entitle rights country others impossible ignore parallels jews treated germany japanese treated america wwii americans beginning treat muslims dark marks history starting repeat themmost terrorist attacks perpetrated us citizens people already country many years legally action drive people extremism endanger american citizens entire faith people persecuted,Liberal,immediately rescind the executive order on immigration that blocks refugees and syrians
147,signatories demand president united states rescind protecting nation foreign terrorist entry united states executive order unnecessarily bans citizens seven muslim countries entering united states order ineffective counterproductive protecting nation breaks longstanding tradition great country graciously welcoming wish depart native lands opportunities provided said generationsgive tired pooryour huddled masses yearning breathe freethe wretched refuse teeming shoresend homeless tempesttost mei lift lamp beside golden door,Liberal,rescind the recent executive order banning citizens from seven muslim countries from entering the united states
148,help bring us together important issue facing humankind climate scientists given flying start theyxve proven global warming real causing burning much fossil fuel backed scientific consensus please demonstrate leadership ability bringing climate change doubters onboard eighteen us scientific organizations national academies science countries want help already support consensus view every major religious faith acknowledges humancaused climate change hoax paris climate accord vowed axthe one participating unfccc member states eu unanimously support please donxt rip togetherness apart,Liberal,please don't rip the -country unity apart by scuttling the paris climate accord
149,presidents executive order suspending refugee resettlement banning entry us nationals selected countries instituting religious litmus test opposition american law values supported facts call upon president immediately reverse action,Liberal,reverse executive order on refugee resettlement
150,people requesting president trump proclaim national day fasting may th president trump stated inauguration speech bible tells us good pleasant gods people live together unity believe day fasting would call nation unify amp turn hearts toward god see division prejudice end march th president abraham lincoln proclaimed national day fasting prayer humbling god following years years america experienced economic surplus see nations economy return place head tail lend borrowwe need ask gods helpgod bless america amp god bless president trump,Conservative,we the people ask president trump to proclaim a national day of fasting
151,president anyone administration knowingly disseminate false information without due diligence fact checking person held accountable issuing apology american people correcting statement andor subject discipline including termination employment,Liberal,truth in government
152,petition requests white house repeal executive order protecting nation foreign terrorist entry united states whether well intentioned order discriminates immigrants refugees basis religion ineffective unconstitutional violation american values premise country founded,Liberal,"repeal muslim immigration ban: exec order, ""protecting the nation from foreign terrorist entry into the united states."""
153,many muslims seven countries barred immigrating worked courageously us dangerous conditions attacked governments risk death remain executive order signed night january resulted detention people already vetted cleared come us air time executive order signed detaining cruel pointless shames us ask order immediately rescinded people wrongly detained released join families,Liberal,immediately rescind order barring muslim immigrants
154,niki iran went back home winter break trying fly back boston last night denied access connecting flight us sent back home iran niki student visa extremely active part mit community please help come back mit,Liberal,"bring niki mossafer rahmati, a current mit student from iran, back to the us"
155,continued ignorance inattention felonious crimes medical pharmaceutical health insurance establishment likely end president trumps first term utterly destroy sheer complacency entire economy government budgets american way life forms concupiscent cowardly acquiescence allowing economic destruction nation end chance nation survive politics greed fear hatred mathematics,Liberal,a policy of prosecuting all businesses in health care now in violation of  usc ch.  to the fullest extent of the law
156,ask president repeal executive order shamefully bans refugees entering united states bans already authorized visaholders seven countries simultaneously creating unconstitutional religious test future refugees,Liberal,repeal executive order banning refugees and visa holders
157,president trump plans sign executive order banning iranians entering united statesi shocked appalled reports intend sign executive order ban access us visa holders iranthis would fundamental challenge america supposed represent would directly targeting friends family iranianamerican community communities would inflicting real pain real people many iranian americans like americans immigrated brighter future based promise american represented centuries risk throwing away taking us slippery slope towards dark future quoted aic statement,Liberal,"president trump, do not ban iranian from entering the united state."
158,order align president trumps affirmation us pick xwinners losersx energy department petition increase vehicle limit plugin electric drive vehicle credit irs code allows tax credit electric vehicle ev purchase subsidy brings ev industry closer balance subsidies fossil fuel industries gets,Liberal,"increase the , vehicle limit to , in the plug-in electric drive vehicle credit (irc d)"
159,right delayed right denied martin luther king jrcurrently national firearms act requires batfe collect tax process paperwork transfer many popular types firearms unfortunately way batfe handles responsibility unconstitutional chilling effect ownership many popular firearms many transfers taking long ten months completethis petition asks president use executive authority order batfe process nfa paperwork within hour period line existing nics statute,Liberal,direct the batfe to expedite nfa processing
160,fda trying put sam jail years labeling infraction please sign share petition far wide trial need signatures get trumps attention thenbasic story explanations cbs affiliate story coming asap,Neutral,free ky amish farmer samuel girod
161,undersigned citizens us sincerely believe republican form government beenand assaulted acts calculated overthrow lawful government us together actsattempts incite insurrection create civil unrest otherwise interfere sovereign first amendment exercise free honest form selfgovernment bygeorge soros accomplices conspirators coconspirators henchman associates organizations enablers surrogates extensions thereof including limited hillary rodham clinton barack hussein obama current former representatives national intelligence cia media military members us congress complicit state federal officials,Conservative,"petition to president donald j. trump, attorney general jeff sessions to investigate/prosecute  george soros, et. al."
162,people making call vice president pence sitting members washington people demanding invoke th amendment section sworn oath protect citizens country whether foreign domestic threat sworn duty protect core values beliefs america built sworn duty protect american people leader lacks mental capacity stability run nation currently breaking oaths sworn american people american people call question donald trumps mental capability leader free world demanding congress swore oath,Liberal,a call to vice president pence and sitting members in washington to invoke the th amendment section 
163,people want see constitutional carry remove regulations god given nd amendment rights provide protection threats selves family national security ever happened shall infringed,Conservative,we the people want to see constitutional carry in america
164,lack immediate concrete plan replacement aca cause insurance markets destabilize premiums increase millions working families lose coverage repeal also increase taxes middle class roll back consumer protections take away health care coverage millions people president trump needs show us plan helps americans dangerous play politics lives americans stake,Liberal,don't repeal the affordable care act without replacement
165,epidemic addiction sweeping united states need every tool available save kids powerful tool caseyxs law law recently passed kentucky ohio allows families petition court get treatment loved one refused get help addicts often refuse help spiraling control late happened charlotte wethingtonxs son casey died heroin overdose charlotte felt able get casey court ordered treatment hexd still fighting get caseyxs law passed federal level meantime people across country trying get caseyxs law passed statebystate,Neutral,help families combat the addiction epidemic.
166,need transparency government need epa job protect us pollution protect environment children grandchildren job epa protect people corporations need know current administration stopping epa job media blackout designed keep us knowing,Liberal,end the media blackout  on the environmental protection agency (epa).
167,end americas oil dependence past years economy driven oil declassifying nikola teslas work lead clean profitable alternative putting america forefront energy technology american people deserve research free clean energy end hold oil dependence leading discoveries depend finite resources would change face nation becoming world leader innovation technology propelling us new era operation paperclip siphoned trillions quadrillions dollars secret access defense contract programs american people must know truth missing trillion tax dollars going military industrial complex time america first,Neutral,full disclosure now! - reveal and declassify  year old classified tesla patents for free energy motors.
168,steve bannon represent values people country must removed position immediately,Liberal,remove steve bannon from the people's white house
169,since trumps inauguration administration placed gag bans lockdowns several scientific environmental agencies epa fda usda national parks service several organizations cabinetlevel unacceptable organizations work towards safety climate change environment medicine food etc valid reason gag orders control flow information public funds purely political moves political gain since businessloving administration us history xwhen tear mans tongue proving liar youre telling world fear might sayx george rr martin clash kings,Liberal,"repeal the gag bans on the epa, fda, usda, nasa, national parks service, and all other public government offices."
170,throughout presidential election campaign candidate donald trump repeatedly promised immediately upon taking oath office repeal president barrack obamas executive amnesty illegal immigrants arrived us children president people call mr trump fulfill promise make clear anyone comes illegally committed crime rewarded citizenship,Conservative,fulfill you campaign promise to repeal daca (deferred action for childhood arrivals)
171,well regulated militia necessary security free state right people keep bear arms shall infringed clearly state california know meaning infringed upon like california politicians speak blasphemy topic know nothing pass laws hurt law abiding citizen compromise little everytime seems enough tyrants since clearly obey law land united states constitution,Conservative,california gun laws are unconstitutional.
172,motorcycles nothing beef reason include list proposed items consists entirely food items small medium motorcycles lifeblood motorsports united states thousands spectators enjoy supercross motocross enduro competitions counting millions watch broadcast television cable thousands enjoy sport including children addition dirt bikes includes smaller street race bikes scooters mopeds many new motorcyclists get started smaller motorcycles healthy outlet energy younger generation also put business many small dealerships united states sell cc cc motorcycles imported europe,Neutral,do not impose a % tariff on motorcycles  cc to  cc as part of the beef trade dispute with europe.
173,asking aware things cannot continue quotstatus quoquot cant turn backs safety cubans central america request senators president trump enact order provide amnesty cubans passport stamped leaving cuba prior january transit usa quotwet foot dry footquot policy repealed cubans amnesty processed legal immigration laws required usa also send message cuban citizen thinking starting trip usa process longer quotstatus quoquot please assist cubans central america going humanitarian crisis,Liberal,amnesty to cubans in central america who left cuba before january   when the wet foot dry foot policy was repealed
174,dakota access pipeline also known bakken oil pipeline contaminate water supply thousands pipeline would carry crude oil farmlands natural areas towns tribal lands ask construction pipeline stopped,Liberal,stop the dakota access pipeline
175,president trump signed law revival construction dakota access pipeline keystone pipeline additional legislation expedites environmental permitting process infrastructure projects related pipelines people believe actions reviving pipelines repealed reasons national energy dependency fossil fuels contributes climate change unsustainable future generations construction dapl pipeline trespasses sovereign land standing rock sioux reservation fundraising effort kelcy warren energy transfer partners ceo republican party behalf president trumps campaign conflict interest,Liberal,repeal executive orders reviving construction on dakota access and keystone xl pipelines
176,law abiding citizens california systematically stripped second amendment rights democratic majority pushing agenda rid state guns way biased onesided,Conservative,repeal the new - unconstitutional gun bans in california and restore the people's a rights.
177,administration recently placed gag orders park service epa usda sign petition ask administration remove gag orders,Liberal,remove the gag order on federal agency public interfacing and allow the agencies to communicate freely with the public.
178,potential dangers manmade climate change serious ignore although us age unlikely suffer serious effects possible effects children childrens children severewe call government establish blueribbon panel composed members national academy sciences advise president senior administration officials issues related climate change include likely effects climate change effort made mitigate costs benefits different approaches mitigation,Liberal,establish a panel of scientists to advise the president on issues related to climate change.
179,asking aware things cannot continue status quo cant turn backs safety cubans nuevo laredo request senators president trump enact order provide amnesty cubans passport stamped leaving cuba prior january transit usa cubans amnesty processed legal immigration laws required usa also send message thinking starting trip process longer status quo please assist us way possible please number nuevo laredo mexico waitin cross,Liberal,amnesty to cubans stuck in transit that left cuban prior to january th and are in limbo in mexico
180,every child born country every american citizen right medical history documentation government maintains name basic human rights denied adopted children many states allowing adoptees access original birth certificates special circumstances many laws exist allowing adopted persons information redacted reason discrimination please allow adoptees request obtain original birth certificates full americans access,Liberal,allow adoptees access to their original birth certificates
181,deny refuge people fleeing syria iraq yemen somalia iran libya denying refuge people fleeing violence violation fundamental american values denying refuge people risked lives help us military many people seeking escape countries done betrayal sacrificed protect america bans keep us safe already exhaustive vetting process domestic terrorism carried rightwing extremists born countryyou said listen american people listen invoked champion christianity violate commandment care least,Liberal,"keep the us open to refugees from syria, iraq, yemen, somalia, iran and libya"
182,president donald trump promised protect americans inaugural speech includes standing rock sioux tribe threatened viciously attacked peaceful protests throughout year many water protectors locked dog crates sprayed water cannons freezing weather subject egregious crimes one brave journalists reporting acts arrested criminal trespassingthe pipeline would run unceded native land constructing violation treaties signed united states land property standing rock sioux indisputable unless president willing prioritize profits big oil companies rights americans,Liberal,stop the construction of the dakota access pipeline and ensure that the rights of native americans are protected
183,president donald trump signed executive actions advance approval keystone xl dakota access oil pipelines decision advance pipelines cast aside efforts president barack obamas administration block construction two pipelinespresident trump legally required honor treaty rights provide fair reasonable pipeline process said standing rock sioux tribe chairman dave archambault ii statement americans know pipeline unfairly rerouted towards nation without consent existing pipeline route risks infringing treaty rights contaminating water water million americans downstreamcorporate interests put ahead american interests,Liberal,stop the keystone xl and dakota access oil pipelines!
